met_file,parameter,value,section,title,statistic%,control_EAB,control_LPZ,EAB,LPZ,delta_EAB,delta_LPZ,pct_EAB,pct_LPZ
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,max_sector,0-2 Hr   Avg. X/Qs  ,0.5,4.1753395635169e-05,1.816228177631274e-05,0.0005328934639692307,0.00013612461043521762,0.0004911400683340617,0.00011796232865890488,1176.2877266929952,649.4906868626575
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,max_sector,0-2 Hr   Avg. X/Qs  ,5.0,8.405516382481437e-06,5.310124379320769e-06,0.0001816101575968787,2.869454510801006e-05,0.00017320464121439727,2.3384420728689292e-05,2060.6067888391244,440.3742560109383
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,max_sector,0-2 Hr   Avg. X/Qs  ,50.0,1.0000000116860974e-07,1.0000000116860974e-07,9.999999974752427e-07,9.999999974752427e-07,8.99999996306633e-07,8.99999996306633e-07,899.9999857891455,899.9999857891455
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,max_sector,0-8 Hr   Avg. X/Qs  ,0.5,2.1532548998948187e-05,8.930775948101655e-06,0.0002830940647982061,5.940745904808864e-05,0.0002615615157992579,5.0476683099986985e-05,1214.7262073432855,565.1992995156979
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,max_sector,0-8 Hr   Avg. X/Qs  ,5.0,5.9646099543897435e-06,3.2551370168221183e-06,0.00011438307410571724,2.2261343474383466e-05,0.0001084184641513275,1.9006206457561348e-05,1817.6957920196494,583.8834543473833
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,max_sector,0-8 Hr   Avg. X/Qs  ,50.0,2.9106297461112263e-07,1.0000000116860974e-07,9.999999974752427e-07,9.999999974752427e-07,7.089370228641201e-07,8.99999996306633e-07,243.56826003420804,899.9999857891455
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,max_sector,8-24 Hr  Avg. X/Qs  ,0.5,1.3253818906378001e-05,9.580401638231706e-06,0.00017909027519635856,4.152653127675876e-05,0.00016583645628998056,3.1946129638527054e-05,1251.2352663138981,333.45292655625536
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,max_sector,8-24 Hr  Avg. X/Qs  ,5.0,3.735530526682851e-06,1.842253482209344e-06,6.26365072093904e-05,1.2153534044045955e-05,5.890097668270755e-05,1.0311280561836611e-05,1576.7767459529125,559.7101952262665
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,max_sector,8-24 Hr  Avg. X/Qs  ,50.0,4.3452595832604857e-07,2.707088810893765e-07,7.07522667653393e-06,9.999999974752427e-07,6.6407007182078814e-06,7.292911163858662e-07,1528.2632926673164,269.40051373677886
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,max_sector,1-4 Day  Avg. X/Qs  ,0.5,8.22584297566209e-06,6.706772637699032e-06,9.92351706372574e-05,2.0512363335001282e-05,9.100932766159531e-05,1.380559069730225e-05,1106.3829923676612,205.8455153183587
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,max_sector,1-4 Day  Avg. X/Qs  ,5.0,1.6827593753987458e-06,7.811587465766934e-07,2.2358246496878564e-05,3.966395524912514e-06,2.067548712147982e-05,3.1852367783358204e-06,1228.6656918242138,407.7579355405831
C:\SIERRA\Test_Cases_ATD\MET_8387.nrc,stack_height,10.0,max_sector,1-4 Day  Avg. X/Qs  ,50.0,4.3183518982914393e-07,2.3443159591352014e-07,6.973534709686646e-06,1.0102069154527271e-06,6.541699519857502e-06,7.75775319539207e-07,1514.8602230507738,330.91756105494585
